序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3282,600019,宝钢股份,6.46,0.31,0.02,753044.0,484034773.0,1.09,6.47,6.4,6.44,6.44,1.06,0.35,13.26,0.69,140712267479.0,140712267479.0,0.0,0.16,-11.26,-13.29,600019.SS
3284,002836,新宏泽,12.74,0.31,0.04,27557.0,34926173.96,2.13,12.82,12.55,12.77,12.7,0.73,1.2,54.68,7.77,2935296000.0,2935296000.0,0.24,0.08,-22.88,-14.95,002836.SZ
3287,002942,新农股份,19.48,0.31,0.06,18882.0,36655867.0,3.09,19.77,19.17,19.48,19.42,1.17,1.38,22.04,2.47,3036112476.0,2672827288.0,-0.2,0.31,-4.04,1.35,002942.SZ
3290,603680,今创集团,12.9,0.31,0.04,25883.0,33258540.0,1.71,13.0,12.78,12.97,12.86,1.12,0.33,15.39,1.81,10109972094.0,10109972094.0,0.0,0.23,-22.66,-16.29,603680.SS
3293,002079,苏州固锝,9.82,0.31,0.03,168289.0,164539347.43,1.23,9.82,9.7,9.82,9.79,1.0,2.08,95.61,2.58,7969175657.0,7961704228.0,0.0,0.2,-0.71,2.83,002079.SZ
3294,603089,正裕工业,12.74,0.31,0.04,22944.0,29061240.0,2.2,12.85,12.57,12.7,12.7,1.02,0.96,19.97,2.04,3512663003.0,3058023834.0,-0.08,0.08,-2.0,0.55,603089.SS
3295,603213,镇洋发展,13.49,0.3,0.04,16972.0,22799227.0,1.41,13.55,13.36,13.45,13.45,0.93,0.38,88.24,3.21,5962207069.0,5962207069.0,-0.07,0.0,2.12,2.74,603213.SS
3298,002026,山东威达,13.3,0.3,0.04,48414.0,64320481.9,1.13,13.36,13.21,13.33,13.26,0.81,1.1,19.12,1.55,5859074789.0,5858569056.0,0.0,0.0,-10.68,-11.63,002026.SZ
3299,601956,东贝集团,6.75,0.3,0.02,56306.0,37817836.0,1.93,6.8,6.67,6.78,6.73,1.0,0.91,30.15,1.65,4195911983.0,4195911983.0,0.15,0.15,-7.66,-5.33,601956.SS
3308,000007,全新好,13.36,0.3,0.04,48615.0,64864886.0,2.4,13.55,13.23,13.41,13.32,0.64,1.4,1015.64,25.34,4628545868.0,4628545868.0,0.0,0.07,9.69,16.78,000007.SZ
3310,002403,爱仕达,10.53,0.29,0.03,19868.0,20827591.0,2.76,10.69,10.4,10.58,10.5,0.68,0.67,-45.61,2.24,3586924237.0,3129110111.0,0.0,0.1,-17.48,-16.82,002403.SZ
3311,000425,徐工机械,10.41,0.29,0.03,795002.0,826365036.25,2.6,10.57,10.3,10.52,10.38,0.82,0.88,15.35,2.04,122303089978.0,93786010910.0,0.1,0.0,-11.78,-10.1,000425.SZ
3315,002301,齐心集团,6.85,0.29,0.02,90018.0,61368858.19,3.51,6.97,6.73,6.91,6.83,1.1,1.25,26.39,1.57,4940959341.0,4918233028.0,0.0,0.29,-14.69,-10.81,002301.SZ
3322,605179,一鸣食品,17.35,0.29,0.05,22251.0,38347098.0,1.73,17.38,17.08,17.3,17.3,1.19,0.55,112.44,6.18,6957350000.0,6957350000.0,0.0,-0.06,-18.28,-17.03,605179.SS
3325,002404,嘉欣丝绸,6.92,0.29,0.02,58797.0,40361589.0,1.88,6.94,6.81,6.91,6.9,0.89,1.29,21.52,1.93,3875556664.0,3152360543.0,0.29,0.14,-0.29,-1.28,002404.SZ
3330,600438,通威股份,17.62,0.28,0.05,1004281.0,1763224718.0,2.22,17.79,17.4,17.5,17.57,1.68,2.23,-11.29,1.9,79325070936.0,79325070936.0,-0.11,0.06,-15.41,-14.13,600438.SS
3331,003005,竞业达,18.23,0.28,0.05,15807.0,28825305.88,2.42,18.51,18.07,18.5,18.18,0.73,1.24,-94.14,2.35,4218215837.0,2314812695.0,-0.05,0.0,-14.61,-10.59,003005.SZ
3332,605300,佳禾食品,10.79,0.28,0.03,10583.0,11375844.0,1.49,10.85,10.69,10.81,10.76,0.69,0.23,141.43,1.71,4902960862.0,4902960862.0,0.0,-0.09,-8.71,-6.98,605300.SS
3333,000565,渝三峡Ａ,7.25,0.28,0.02,72326.0,51810046.23,2.49,7.27,7.09,7.25,7.23,0.85,1.67,142.96,2.52,3143543595.0,3143543595.0,0.14,0.0,-4.48,-0.68,000565.SZ
3334,600336,澳柯玛,7.11,0.28,0.02,54537.0,38593532.0,1.83,7.15,7.02,7.15,7.09,0.71,0.68,-469.74,2.34,5673885008.0,5673885008.0,-0.14,-0.14,-14.44,-13.5,600336.SS
3336,002392,北京利尔,7.27,0.28,0.02,133163.0,96094727.86,2.76,7.35,7.15,7.32,7.25,0.88,1.16,21.58,1.49,8654868400.0,8316017654.0,0.0,0.0,-13.86,-2.81,002392.SZ
3337,603273,天元智能,17.9,0.28,0.05,15200.0,27153739.0,2.63,18.15,17.68,18.14,17.85,1.12,2.71,147.37,4.36,3836209860.0,1003445360.0,0.0,-0.06,-12.34,-14.64,603273.SS
3338,601966,玲珑轮胎,14.12,0.28,0.04,59594.0,83997383.0,0.99,14.19,14.05,14.16,14.08,0.78,0.41,13.28,0.89,20664657884.0,20664657884.0,0.07,0.0,-4.21,-2.82,601966.SS
3340,600177,雅戈尔,7.18,0.28,0.02,207656.0,148084809.0,1.26,7.19,7.1,7.17,7.16,0.91,0.45,10.6,0.78,33196312856.0,33196312856.0,0.0,0.0,-3.62,-4.52,600177.SS
